Time,Stimulus,Raw F3,Raw F4,F3-Cz,F4-Cz,F3-CMA,F4-CMA
0.5195427,0,-0.6047111,-4.832291,-0.602111312,-4.829691212,-0.604711032953846,-4.83229093295385
0.5234491,0,3.51552,-1.005792,3.508056194,-1.013255806,3.51551999636923,-1.00579200363077
0.5273554,0,1.471458,-4.067825,1.8290458,-3.7102372,1.47145796538462,-4.06782503461539
0.5312617,0,0.93661,-5.102752,-0.56347,-6.602832,0.936610042615384,-5.10275195738462
0.5351681,0,1.484377,-3.40184,1.0965762,-3.7896408,1.48437709769231,-3.40183990230769
0.5390744,0,-0.3877421,-2.000727,-0.9609114,-2.5738963,-0.387742172307692,-2.00072707230769
0.5429807,0,2.409808,0.2787631,2.5282006,0.3971557,2.40980795338462,0.278763053384615
0.546887,0,2.870253,0.05081696,2.2723561,-0.54707994,2.87025306523077,0.0508170252307698
0.5507934,0,-0.1149111,-4.412477,0.8641716,-3.4333943,-0.114911171384615,-4.41247707138462
0.5546997,0,4.943445,1.473422,4.5312029,1.0611799,4.94344503384615,1.47342203384615
0.5586061,0,4.78704,-0.8938015,4.82912495,-0.85171655,4.78703993630769,-0.893801563692308
0.5625124,0,-1.046324,-3.311605,0.280466,-1.984815,-1.04632380923077,-3.31160480923077
0.5664188,0,-1.952529,1.078944,-3.683795,-0.652322,-1.95252901969231,1.07894398030769
0.5703251,0,-0.1113936,-2.766923,1.0234334,-1.632096,-0.111393640646154,-2.76692304064615
0.5742314,0,1.487301,2.533963,1.2536485,2.3003105,1.48730103861538,2.53396303861538
0.5781378,0,-2.943827,-3.976785,-0.406062,-1.43902,-2.94382700693846,-3.97678500693846
0.5820441,0,-2.08023,-1.839565,1.79563,2.036295,-2.08023005307692,-1.83956505307692
0.5859504,0,1.666301,1.358475,3.204001,2.896175,1.66630101846154,1.35847501846154
0.5898567,0,2.94766,-1.183277,4.818969,0.688032,2.94766006046154,-1.18327693953846
0.5937631,0,2.228276,-1.00376,4.82107,1.589034,2.22827592461538,-1.00376007538462
0.5976694,0,-2.177154,-2.050893,0.926299,1.05256,-2.17715399538462,-2.05089299538462
0.6015758,0,-2.278347,-0.474303,1.435246,3.23929,-2.27834695861538,-0.474302958615385
0.6054821,0,-2.111511,1.623833,2.257356,5.9927,-2.11151103538462,1.62383296461538
0.6093885,0,-3.540512,1.513282,0.885431,5.939225,-3.54051198553846,1.51328201446154
0.6132948,0,1.002869,4.154558,2.329862,5.481551,1.00286905384615,4.15455805384615
0.6172011,0,0.5035807,2.786415,0.8721767,3.155011,0.50358062,2.78641492
0.6211075,0,-2.179772,2.798085,-3.1274165,1.8504405,-2.17977198323077,2.79808501676923
0.6250138,0,1.076221,4.624852,0.1734721,3.7221031,1.07622101,4.62485201
0.6289201,0,3.818027,9.261528,2.760664,8.204165,3.81802694769231,9.26152794769231
0.6328264,0,0.9415651,8.657846,1.8787938,9.5950747,0.941565142769231,8.65784604276923
0.6367328,0,9.342248,6.702895,10.3111807,7.6718277,9.34224793692308,6.70289493692308
0.6406391,0,0.7912577,3.844892,3.0544757,6.10811,0.791257607692308,3.84489190769231
0.6445455,0,3.800616,4.96117,6.954896,8.11545,3.80061601230769,4.96117001230769
0.6484518,0,7.087433,3.178452,11.889588,7.980607,7.08743323692308,3.17845223692308
0.6523582,0,-1.103691,4.371038,2.272323,7.747052,-1.10369114153846,4.37103785846154
0.6562645,0,-5.115063,1.007327,-1.639464,4.482926,-5.11506318169231,1.00732681830769
0.6601708,0,7.320714,2.582177,10.466671,5.728134,7.32071403139385,2.58217703139385
0.6640772,0,4.259644,1.682266,5.638104,3.060726,4.25964402861538,1.68226602861538
0.6679835,0,-0.07188601,0.2895562,0.98562599,1.3470682,-0.0718860604615383,0.289556149538462
0.6718898,0,1.227911,2.060991,3.872352,4.705432,1.22791101092308,2.06099101092308
0.6757962,0,1.011818,1.600921,1.8183169,2.4074199,1.01181803344615,1.60092103344615
0.6797025,0,5.83784,4.161637,6.7937881,5.1175851,5.83783983846154,4.16163683846154
0.6836088,0,7.948942,6.737644,9.100199,7.888901,7.94894199076923,6.73764399076923
0.6875152,0,-1.524768,5.371635,-0.262081,6.634322,-1.52476794769231,5.37163505230769
0.6914215,0,-1.62862,2.309109,2.165866,6.103595,-1.62861964307692,2.30910935692308
0.6953278,0,4.030471,3.84903,5.884324,5.702883,4.03047109846154,3.84903009846154
0.6992342,0,4.579057,2.835246,4.585858103,2.842047103,4.57905697389231,2.83524597389231
0.7031405,0,-2.8482,4.255791,0.0424390000000003,7.14643,-2.84819998,4.25579102
0.7070469,0,3.134447,4.914748,2.4497054,4.2300064,3.13444698790769,4.91474798790769
0.7109532,0,-0.4852,3.867808,-0.9535949,3.3994131,-0.485200078769231,3.86780792123077
0.7148595,0,-1.244124,1.496759,-8.03803,-5.297147,-1.24412415353846,1.49675884646154
0.7187659,0,3.03019,2.69877,-0.343241,-0.674661,3.03018995323077,2.69876995323077
0.7226722,0,-0.3887091,2.237208,2.3041669,4.930084,-0.388709164615385,2.23720793538462
0.7265785,250,6.935924,-0.5074634,9.802262,2.3588746,3.08977007430769,-4.35361732569231
0.7304848,0,0.7765749,4.288873,1.1148032,4.6271013,0.776574699384615,4.28887279938461
0.7343912,0,-3.304611,3.088072,0.83013,7.222813,-3.30461092,3.08807208
0.7382975,0,-5.068371,-0.1126145,-3.963167,0.9925895,-5.06837093669231,-0.112614436692308
0.7422039,0,0.5101629,1.437972,-0.9426501,-0.0148409999999999,0.510162947692308,1.43797204769231
0.7461102,0,-1.393475,1.177663,-0.929344,1.641794,-1.39347493292308,1.17766306707692
0.7500166,0,1.056949,-0.916667,1.03894698,-0.93466902,1.05694898107692,-0.916667018923077
0.7539229,0,-3.814373,0.1461802,-1.467002,2.4935512,-3.81437304307692,0.146180156923077
0.7578292,0,-3.764017,2.556511,-3.6362288,2.6842992,-3.764016984,2.556511016
0.7617356,0,1.367181,0.7602186,0.202936,-0.4040264,1.36718099938462,0.760218599384615
0.7656419,0,8.89801,4.541757,7.860789,3.504536,8.89800995024615,4.54175695024615
0.7695482,0,3.553897,6.706321,-0.997203,2.155221,3.55389713230769,6.70632113230769
0.7734545,0,1.965901,-1.610844,1.0431888,-2.5335562,1.96590090892308,-1.61084409107692
0.7773609,0,2.630399,1.616504,1.424823,0.410928,2.63039905846154,1.61650405846154
0.7812672,0,5.789032,2.250654,4.098113,0.559735,5.78903200769231,2.25065400769231
0.7851736,0,-0.1248448,3.431063,0.6817104,4.2376182,-0.124844754153846,3.43106304584615
0.7890799,0,0.6815397,2.308623,3.2164487,4.843532,0.681539717846154,2.30862301784615
0.7929863,0,2.623263,-0.7359291,7.497736,4.1385439,2.62326303492308,-0.735929065076923
0.7968926,0,1.780873,2.195567,7.019269,7.433963,1.78087306630769,2.19556706630769
